NODE_ID,Part_Name,DEL_QTY,CONTAINER_QTY,LEVEL2_CONTAINER_TYPE,LEVEL3_CONTAINER_TYPE,TOTAL_TIME,DEMAND_PER_SHIFT,LINESIDE_ADDRESS,NO_OF_TRIP_REQD
I_14,DASH PNL INSULATOR,10,1,NULL,CUS_DOLLEY,24,45,TR3,4.5
SML_Dr,HEADLINING ,10,1,NULL,CUS_DOLLEY,24,45,TR5,4.5
I_14,CYLINDER ASSY BRAKE MASTER,10,1,NULL,CUS_DOLLEY,24,45,TL1,4.5
I_14,"PAD S/A, INST PNL SAFETY, LOWER",10,1,NULL,CUS_DOLLEY,24,45,TL4,4.5
I_14,"REINFORCEMENT S/A, INS'T PNL",10,1,NULL,CUS_DOLLEY,24,45,TL6,4.5
I_14,STEERING COLUMN,10,1,NULL,CUS_DOLLEY,24,45,TL7,4.5
I_14,"PAD S/A, INS'T PNL SAFETY, UPPER",10,1,NULL,CUS_DOLLEY,24,45,TL8,4.5
I_14,"AXLE ASSY, FR LH  ",10,1,NULL,CUS_DOLLEY,24,45,CL2,4.5
I_18,"ABSORBER ASSY, SHOCK FR LH",10,1,NULL,CUS_DOLLEY,24,45,CL2,4.5
I_14,"AXLE ASSY, FR RH  ",10,1,NULL,CUS_DOLLEY,24,45,CR2,4.5
I_18,"ABSORBER ASSY, SHOCK FR RH",10,1,NULL,CUS_DOLLEY,24,45,CR2,4.5
I_14,COIL SPRING FR/RR LH,10,1,NULL,CUS_DOLLEY,24,45,CL2,4.5
I_14,COIL SPRING FR/RR RH,10,1,NULL,CUS_DOLLEY,24,45,CR3,4.5
I_14,BEAM S/A,10,1,NULL,CUS_DOLLEY,24,45,CL5,4.5
I_14,RR SUSP'N AND STABILIZER BAR,10,1,NULL,CUS_DOLLEY,24,45,CL5,4.5
I_14,STEERING LINK,10,1,NULL,CUS_DOLLEY,24,45,CL7,4.5
I_14,LOWER ARM ,10,1,NULL,CUS_DOLLEY,24,45,CL7,4.5
I_14,SUB - FRAME FR,10,1,NULL,CUS_DOLLEY,24,45,CL7,4.5
SML_Dr,SIDE SKIRT ( PAINTED ),10,1,NULL,CUS_DOLLEY,24,45,AC_B,4.5
SML_Dr,BUMPER FR ( PAINTED ),5,1,NULL,CUS_DOLLEY,24,45,TL2,9
SML_Dr,BUMPER RR ( PAINTED ),5,1,NULL,CUS_DOLLEY,24,45,TL2,9
Bulky_1,"DR GLASS, FR/RR, LH",20,1,NULL,CUS_DOLLEY,24,45,TL1,2.25
Bulky_1,"DR GLASS, FR/RR, RH",20,1,NULL,CUS_DOLLEY,24,45,TR1,2.25
Bulky_2,"DR TRIM FR/RR, LH",10,1,NULL,CUS_DOLLEY,24,45,TL1,4.5
Bulky_2,"DR TRIM FR/RR, RH",10,1,NULL,CUS_DOLLEY,24,45,TR1,4.5
Bulky_2,SPARE WHEEL,10,1,NULL,CUS_DOLLEY,24,45,FR2,4.5
Bulky_1,WINDSHIELD GLASS,40,1,NULL,CUS_DOLLEY,24,45,FL2,1.125
SML_Dr,BCK WNDW GLASS W/ and W/O ANT.,20,1,NULL,CUS_DOLLEY,24,45,FL2,2.25
Bulky_1,BATTERY,10,1,NULL,CUS_DOLLEY,24,45,FL3,4.5
Bulky_2,SPARE WHEEL COVER,10,1,NULL,CUS_DOLLEY,24,45,FL6,4.5
Bulky_1,LUGGAGE MAT,10,1,NULL,CUS_DOLLEY,24,45,FL7,4.5
Bulky_2,SEAT ASSY ,3,1,NULL,CUS_DOLLEY,24,45,FL6,15
Bulky_2,FLOOR TUBES,10,1,NULL,CUS_DOLLEY,24,45,CL4,4.5
I_14,DRIVE SHAFT,10,1,NULL,CUS_DOLLEY,24,45,EG_R2,4.5
Bulky_1,FUEL TANK,10,1,NULL,CUS_DOLLEY,24,45,CR4,4.5
Bulky_2,EXHAUST PIPE,10,1,NULL,CUS_DOLLEY,24,45,CR7,4.5
Bulky_2,WEATHERSTRIP,10,1,NULL,CUS_DOLLEY,24,45,T0,4.5
SML_Dr,H- VAC,10,1,NULL,CUS_DOLLEY,24,45,TR10,4.5
SML_Dr,CONDENSER,10,1,NULL,CUS_DOLLEY,24,45,TR10,4.5
SML_Dr,RADIO PARTS,10,1,NULL,CUS_DOLLEY,24,45,AC_B,4.5
Bulky_1,CARPET,10,1,NULL,CUS_DOLLEY,24,45,TR2,4.5
SML_St,TRIM - 1 RH 1 - 8,10,8,DUNNAGE,DOLLEY,80,45,TR4,4.5
SML_St,TRIM - 1 RH 9 - 12,10,8,DUNNAGE,DOLLEY,80,45,TR10,4.5
SML_St,CHASSIS RH 1 -9,10,8,DUNNAGE,DOLLEY,80,45,CR5,4.5
SML_St,TRIM - 2 RH 1 - 3,10,8,DUNNAGE,DOLLEY,80,45,EG_R1,4.5
SML_St,FINAL RH 1 - 3,10,8,DUNNAGE,DOLLEY,80,45,FR2,4.5
SML_St,FINAL RH 4 - 8,10,8,DUNNAGE,DOLLEY,80,45,FR6,4.5
SML_St,TRIM - 1 LH 1 - 5,10,5,DUNNAGE,DOLLEY,50,45,TL3,4.5
SML_St,TRIM - 1 LH 6 - 8,10,5,DUNNAGE,DOLLEY,50,45,TL7,4.5
SML_St,TRIM - 1 LH 9 - 12,10,5,DUNNAGE,DOLLEY,50,45,TL10,4.5
SML_St,"CHASSIS LH 1 - 9 , ENGINE 1 - 3",10,8,DUNNAGE,DOLLEY,80,45,CL4,4.5
SML_St,TRIM 2 LH 1 - 3,10,8,DUNNAGE,DOLLEY,80,45,TL2,4.5
SML_St,FINAL LH 1 - 3,10,8,DUNNAGE,DOLLEY,80,45,FL2,4.5
SML_St,FINAL LH 4 - 8,10,8,DUNNAGE,DOLLEY,80,45,FL5,4.5
