,AC_B,Bulky_1,Bulky_2,CL1,CL2,CL3,CL4,CL5,CL6,CL7,CR1,CR2,CR3,CR4,CR5,CR6,CR7,EG_L1,EG_L2,EG_L3,EG_R1,EG_R2,EG_R3,FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL9,FR1,FR2,FR3,FR4,FR5,FR6,FR7,FR8,FR9,I_12,I_13,I_14,I_15,I_16,I_17,I_18,I_19,I_20,I_21,I_22,I_23,I_24,I_25,I_26,I_27,SML_Dr,SML_St,T0,TL1,TL10,TL2,TL3,TL4,TL5,TL6,TL7,TL8,TL9,TR1,TR10,TR2,TR3,TR4,TR5,TR6,TR7,TR8,TR9
AC_B,0,207.96,232.8,237.83,243.35,248.86,254.38,259.9,265.41,270.93,224.63,230.15,235.66,241.18,246.7,252.21,120.67,221.28,226.8,232.31,208.08,213.6,219.11,84.81,90.51,96.21,101.87,107.61,113.31,119.01,124.71,130.41,96.75,102.45,108.15,113.81,119.55,125.25,130.95,136.65,142.35,107.57,227.95,204.1,201.3,97.56,218.05,193.17,188.22,85.25,175.89,71.26,180.88,165.37,59.39,162.67,57.43,188.6,173.5,114.6,96.66,146.32,102.18,107.69,113.21,118.73,124.24,129.76,135.28,140.8,110.49,160.15,116.01,121.52,127.04,132.56,138.07,143.59,149.11,154.63
Bulky_1,207.96,0,24.84,118.55,124.07,129.58,135.1,140.62,146.13,151.65,105.35,110.87,116.38,121.9,127.42,132.93,138.45,102.0,107.52,113.03,88.8,94.32,99.83,191.53,197.23,202.93,208.59,214.33,220.03,225.73,231.43,80.66,203.47,209.17,214.87,220.53,226.27,231.97,237.67,243.37,249.07,196.19,53.53,77.95,82.02,186.18,43.63,67.99,68.94,173.87,56.61,177.98,53.03,45.7,166.11,45.29,150.53,19.36,37.6,203.22,203.38,253.04,208.9,214.41,219.93,225.45,230.96,236.48,242.0,247.52,199.11,98.63,204.63,210.14,215.66,221.18,226.69,232.21,237.73,243.25
Bulky_2,232.8,24.84,0,96.53,102.05,107.56,113.08,118.6,124.11,129.63,105.95,111.47,116.98,122.5,128.02,133.53,139.05,79.98,85.5,91.01,89.4,94.92,100.43,216.37,222.07,227.77,233.43,239.17,244.87,250.57,256.27,105.5,213.95,219.65,225.35,231.01,236.75,242.45,248.15,253.85,259.55,174.31,28.69,53.11,60.0,164.3,18.79,43.67,69.54,174.47,60.95,188.46,58.63,70.54,190.95,70.13,175.37,44.2,62.44,181.34,213.86,263.52,219.38,224.89,230.41,235.93,241.44,246.96,252.48,258.0,199.71,99.23,205.23,210.74,216.26,221.78,227.29,232.81,238.33,243.85
CL1,165.33,253.61,278.45,0,5.52,11.03,16.55,22.07,27.58,33.1,221.08,226.6,232.11,237.63,243.15,248.66,115.5,217.73,223.25,228.76,204.53,210.05,215.56,131.36,137.06,142.76,148.42,154.16,159.86,165.56,171.26,176.96,119.56,125.26,130.96,136.62,142.36,148.06,153.76,159.46,165.16,77.78,230.59,201.1,197.75,67.77,220.69,195.81,184.67,80.08,197.0,94.07,203.06,210.35,105.94,225.35,121.52,234.25,216.01,84.81,119.47,169.13,124.99,130.5,136.02,141.54,147.05,152.57,158.09,163.61,105.32,154.98,110.84,116.35,121.87,127.39,132.9,138.42,143.94,149.46
CL2,159.81,248.09,272.93,228.76,0,5.51,11.03,16.55,22.06,27.58,215.56,221.08,226.59,232.11,237.63,243.14,109.98,212.21,217.73,223.24,199.01,204.53,210.04,125.84,131.54,137.24,142.9,148.64,154.34,160.04,165.74,171.44,114.04,119.74,125.44,131.1,136.84,142.54,148.24,153.94,159.64,72.26,225.07,195.58,192.23,62.25,215.17,190.29,179.15,74.56,191.48,88.55,197.54,204.83,100.42,219.83,116.0,228.73,210.49,79.29,113.95,163.61,119.47,124.98,130.5,136.02,141.53,147.05,152.57,158.09,99.8,149.46,105.32,110.83,116.35,121.87,127.38,132.9,138.42,143.94
CL3,154.3,242.58,267.42,223.25,228.77,0,5.52,11.04,16.55,22.07,210.05,215.57,221.08,226.6,232.12,237.63,104.47,206.7,212.22,217.73,193.5,199.02,204.53,120.33,126.03,131.73,137.39,143.13,148.83,154.53,160.23,165.93,108.53,114.23,119.93,125.59,131.33,137.03,142.73,148.43,154.13,66.75,219.56,190.07,186.72,56.74,209.66,184.78,173.64,69.05,185.97,83.04,192.03,199.32,94.91,214.32,110.49,223.22,204.98,73.78,108.44,158.1,113.96,119.47,124.99,130.51,136.02,141.54,147.06,152.58,94.29,143.95,99.81,105.32,110.84,116.36,121.87,127.39,132.91,138.43
CL4,148.78,237.06,261.9,217.73,223.25,228.76,0,5.52,11.03,16.55,204.53,210.05,215.56,221.08,226.6,232.11,98.95,201.18,206.7,212.21,187.98,193.5,199.01,114.81,120.51,126.21,131.87,137.61,143.31,149.01,154.71,160.41,103.01,108.71,114.41,120.07,125.81,131.51,137.21,142.91,148.61,61.23,214.04,184.55,181.2,51.22,204.14,179.26,168.12,63.53,180.45,77.52,186.51,193.8,89.39,208.8,104.97,217.7,199.46,68.26,102.92,152.58,108.44,113.95,119.47,124.99,130.5,136.02,141.54,147.06,88.77,138.43,94.29,99.8,105.32,110.84,116.35,121.87,127.39,132.91
CL5,143.26,231.54,256.38,212.21,217.73,223.24,228.76,0,5.51,11.03,199.01,204.53,210.04,215.56,221.08,226.59,93.43,195.66,201.18,206.69,182.46,187.98,193.49,109.29,114.99,120.69,126.35,132.09,137.79,143.49,149.19,154.89,97.49,103.19,108.89,114.55,120.29,125.99,131.69,137.39,143.09,55.71,208.52,179.03,175.68,45.7,198.62,173.74,162.6,58.01,174.93,72.0,180.99,188.28,83.87,203.28,99.45,212.18,193.94,62.74,97.4,147.06,102.92,108.43,113.95,119.47,124.98,130.5,136.02,141.54,83.25,132.91,88.77,94.28,99.8,105.32,110.83,116.35,121.87,127.39
CL6,137.75,226.03,250.87,206.7,212.22,217.73,223.25,228.77,0,5.52,193.5,199.02,204.53,210.05,215.57,221.08,87.92,190.15,195.67,201.18,176.95,182.47,187.98,103.78,109.48,115.18,120.84,126.58,132.28,137.98,143.68,149.38,91.98,97.68,103.38,109.04,114.78,120.48,126.18,131.88,137.58,50.2,203.01,173.52,170.17,40.19,193.11,168.23,157.09,52.5,169.42,66.49,175.48,182.77,78.36,197.77,93.94,206.67,188.43,57.23,91.89,141.55,97.41,102.92,108.44,113.96,119.47,124.99,130.51,136.03,77.74,127.4,83.26,88.77,94.29,99.81,105.32,110.84,116.36,121.88
CL7,132.23,220.51,245.35,201.18,206.7,212.21,217.73,223.25,228.76,0,187.98,193.5,199.01,204.53,210.05,215.56,82.4,184.63,190.15,195.66,171.43,176.95,182.46,98.26,103.96,109.66,115.32,121.06,126.76,132.46,138.16,143.86,86.46,92.16,97.86,103.52,109.26,114.96,120.66,126.36,132.06,44.68,197.49,168.0,164.65,34.67,187.59,162.71,151.57,46.98,163.9,60.97,169.96,177.25,72.84,192.25,88.42,201.15,182.91,51.71,86.37,136.03,91.89,97.4,102.92,108.44,113.95,119.47,124.99,130.51,72.22,121.88,77.74,83.25,88.77,94.29,99.8,105.32,110.84,116.36
