Trip_ID,Assigned_Driver,Lineside_Group,Aisle_ID,Primary_Part,DEL_QTY,Start_Offset_Min,Duration_Min,Parts_Delivered,Outbound_Path,Return_Path
TRIP_087,1,Trimline LH,AISLE_A,CYLINDER ASSY BRAKE MASTER,20,0,9.22,"CYLINDER ASSY BRAKE MASTER, BUMPER FR ( PAINTED ), BUMPER RR ( PAINTED )",SML_Dr -> I_26 -> I_27 -> I_25 -> I_22 -> TL1 -> TL2,TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> SML_St -> SML_Dr
TRIP_093,1,Trimline LH,AISLE_A,"DR GLASS, FR/RR, LH",30,3,10.25,"DR GLASS, FR/RR, LH, BUMPER FR ( PAINTED ), BUMPER RR ( PAINTED )",Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> I_22 -> TL1,TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> SML_St -> SML_Dr -> Bulky_1
TRIP_099,1,Trimline LH,AISLE_A,"PAD S/A, INST PNL SAFETY, LOWER",30,6,11.19,"PAD S/A, INST PNL SAFETY, LOWER, PAD S/A, INS'T PNL SAFETY, UPPER, DR TRIM FR/RR, LH",Bulky_2 -> I_17 -> I_13 -> I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1,TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> SML_St -> SML_Dr -> Bulky_1 -> Bulky_2
TRIP_096,1,Trimline LH,AISLE_A,"DR TRIM FR/RR, LH",20,9,11.19,"DR TRIM FR/RR, LH, BUMPER FR ( PAINTED ), BUMPER RR ( PAINTED )",Bulky_2 -> I_17 -> I_13 -> I_14 -> I_19 -> EG_R1 -> EG_R2 -> EG_R3 -> CR1 -> CR2 -> CR3 -> CR4 -> CR5 -> CR6 -> CR7 -> I_20 -> I_22 -> TL1,TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> SML_St -> SML_Dr -> Bulky_1 -> Bulky_2
TRIP_111,1,Trimline LH,AISLE_A,TRIM 2 LH 1 - 3,30,12,11.24,"TRIM 2 LH 1 - 3, TRIM - 1 LH 6 - 8, TRIM - 1 LH 9 - 12",SML_St -> I_26 -> I_27 -> I_25 -> I_22 -> TL1 -> TL2 -> TL3 -> TL4 -> TL5 -> TL6 -> TL7,TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> SML_St
TRIP_049,1,Final LH,INDEPENDENT,BCK WNDW GLASS W/ and W/O ANT.,40,15,10.61,"BCK WNDW GLASS W/ and W/O ANT., BATTERY, FINAL LH 1 - 3",Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3,FL3 -> FL4 -> FL5 -> FL6 -> FL7 -> FL8 -> FL9 -> I_24 -> SML_Dr -> Bulky_1
TRIP_105,1,Trimline LH,AISLE_A,TRIM - 1 LH 1 - 5,30,18,9.38,"TRIM - 1 LH 1 - 5, REINFORCEMENT S/A, INS'T PNL, STEERING COLUMN",SML_St -> I_26 -> I_27 -> I_25 -> I_22 -> TL1 -> TL2 -> TL3,TL3 -> TL4 -> TL5 -> TL6 -> TL7 -> TL8 -> TL9 -> TL10 -> I_21 -> SML_St
TRIP_052,1,Final LH,INDEPENDENT,BATTERY,30,21,11.54,"BATTERY, FINAL LH 1 - 3, FINAL LH 4 - 8",Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3,FL3 -> FL4 -> FL5 -> FL6 -> FL7 -> FL8 -> FL9 -> I_24 -> SML_Dr -> Bulky_1
TRIP_058,1,Final LH,INDEPENDENT,SPARE WHEEL COVER,23,24,11.0,"SPARE WHEEL COVER, LUGGAGE MAT, SEAT ASSY",Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,FL6 -> FL7 -> FL8 -> FL9 -> I_24 -> SML_Dr -> Bulky_1 -> Bulky_2
TRIP_055,1,Final LH,INDEPENDENT,LUGGAGE MAT,23,27,11.93,"LUGGAGE MAT, FINAL LH 4 - 8, SEAT ASSY",Bulky_2 -> Bulky_1 -> SML_Dr -> I_26 -> I_27 -> I_25 -> FL1 -> FL2 -> FL3 -> FL4 -> FL5 -> FL6,FL6 -> FL7 -> FL8 -> FL9 -> I_24 -> SML_Dr -> Bulky_1 -> Bulky_2
